,std-dp_small-hek293t-pe2.csv,std-pd-k562-pe2.csv,std-dp_small-a549-pe4max_epegrna.csv,std-dp_small-hek293t-pe2max_epegrna.csv,std-dp_small-hek293t-pe4max_epegrna.csv,std-pd-adv-pe2.csv,std-dp_small-hela-pe2max.csv,std-pd-hek293t-pe2.csv,std-dp_small-hek293t-nrch_pe2.csv,std-dp_small-dld1-nrch_pe4max.csv,std-dp_small-dld1-pe2max.csv,std-dp_small-nih3t3-nrch_pe4max.csv,std-dp_small-dld1-pe4max.csv,std-pd-k562mlh1dn-pe2.csv,std-dp-hek293t-pe2.csv,std-dp_small-a549-pe4max.csv,std-dp_small-a549-pe2max.csv,std-dp_small-hek293t-nrch_pe2max.csv,std-dp_small-hct116-pe2.csv,std-dp_small-mda_mb_231-pe2.csv,std-dp_small-hek293t-pe2max.csv,std-dp_small-a549-pe2max_epegrna.csv,std-dp_small-hek293t-pe4max.csv
dp,"[0.565719935806897, 0.558475831784042, 0.5586243522394836, 0.47491820675511387, 0.48863103818227643]","[0.5903182847582402, 0.6138030724927394, 0.5919359574889582, 0.6007023515912088, 0.6066786222097217]","[0.3309773709596691, 0.3355961488239176, 0.2078680398705834, 0.2642905427283681, 0.3831634752574552]","[0.6231069525775909, 0.5920465421821539, 0.6377987987228945, 0.5994381002167092, 0.6184788877290752]","[0.6336629052156533, 0.5932183676646432, 0.5298847330677121, 0.614512695091653, 0.6101273856502516]","[0.5477096419928915, 0.5851633441149918, 0.596160543886612, 0.5773833060731399, 0.5883796383380928]","[0.46262008970166263, 0.47515459914492114, 0.410193959185605, 0.5019381562686251, 0.4082882344947882]","[0.7959051298476699, 0.8411539531628313, 0.835825087111363, 0.8185057319530324, 0.8080528046688873]","[0.6299800704833263, 0.5996497945666619, 0.6279527897604513, 0.625637998607469, 0.5915842416439574]","[0.6284354432204433, 0.6502225216952654, 0.6177087380832034, 0.5913874503286753, 0.6503146274077872]","[0.63601259058861, 0.580433508154892, 0.5702870509753196, 0.6073786680889668, 0.6119394399993869]","[0.5409382923705874, 0.511956791860803, 0.5407293421111259, 0.5689245177231127, 0.5579301729382178]","[0.6263432501464942, 0.5780058346421553, 0.6244523181642293, 0.5726818612754675, 0.6374366151758069]","[0.7958392400712663, 0.7827516553213327, 0.780264977984207, 0.7977354702335516, 0.7764252199675732]","[0.7320821284038038, 0.7282784562980662, 0.7228058673709196, 0.7330115176195762, 0.7251662177948643]","[0.399252224633725, 0.42541596959569844, 0.3828218676434203, 0.3746500305933932, 0.4169662447117977]","[0.3360122400738117, 0.27727858749749185, 0.2319093649846932, 0.2618626806988831, 0.2853955814048161]","[0.5025031715800257, 0.5334442192139542, 0.5083465286278062, 0.5199943022994272, 0.47725282858699064]","[0.3989369066668472, 0.406069501338732, 0.43247442123296737, 0.42934358788578664, 0.38397423457467517]","[0.28960326968020406, 0.3839612564031817, 0.33830868463217534, 0.3732026495436171, 0.39261710372428466]","[0.6370167668549261, 0.6060317059268685, 0.616152506436562, 0.6194001653567575, 0.6711703072461874]","[0.2853457811883366, 0.29089715287231915, 0.3561466363919067, 0.29341325191573475, 0.3144600349317454]","[0.6153006282252459, 0.6277946672052378, 0.6042386515090162, 0.6030789470130353, 0.6375203097379525]"
pd,"[0.5848158159719994, 0.6198352184027417, 0.6354717781168897, 0.5213789110669335, 0.5516805674049993]","[0.6858908005132127, 0.702474558618422, 0.6670463221406078, 0.6706465267328857, 0.6584355016269174]","[0.3688488692772543, 0.41787555504257223, 0.32977591479241103, 0.3708073480728035, 0.42575825103826903]","[0.6215438195665927, 0.6397609488382512, 0.674313001494926, 0.630355847385261, 0.6298245558437017]","[0.6567747725426835, 0.6030388073216827, 0.6045367194520754, 0.6292197576323978, 0.6354949905031091]","[0.4341059538079823, 0.5169384219123487, 0.48713948694363535, 0.5771461735483386, 0.6285346540492278]","[0.6239216020626801, 0.5742527183200486, 0.5562200846605792, 0.609483347714581, 0.5604027964706122]","[0.7906951115420144, 0.8034605578659045, 0.8058904616698042, 0.7892999257028551, 0.8228603499995742]","[0.6068037636071136, 0.6371746546805153, 0.6475097664168672, 0.6481374220223658, 0.588804611430191]","[0.6735866382751502, 0.6566677916938929, 0.6489984834787318, 0.6355667964517583, 0.6759167222353554]","[0.6176425474468906, 0.541152707286165, 0.6032574091798965, 0.5949336663678142, 0.578914980963325]","[0.5722464788463659, 0.506519127226286, 0.5373251814938522, 0.5749018677634358, 0.5709983691870506]","[0.6180266018620123, 0.6260600475675703, 0.6526007368230462, 0.582443696721059, 0.6681230609835105]","[0.8080884214561856, 0.7802881077429776, 0.7989774242826774, 0.8060992100327168, 0.8032437918507942]","[0.7485515133191052, 0.7472228020127922, 0.7394926549222143, 0.7372763141350233, 0.7392113088090647]","[0.46363512573902826, 0.512676584360657, 0.5413512134605605, 0.4728878187672552, 0.4719102217220194]","[0.36106677077841676, 0.2813067425613975, 0.26322757382520956, 0.27611982736349566, 0.3169208923173253]","[0.5255271304762381, 0.3996117663912928, 0.4612289505712338, 0.4820652762364334, 0.4557493411860093]","[0.5629330968107902, 0.5262486462765401, 0.5687141513498237, 0.5095971262000201, 0.4558136225978839]","[0.42287030921295093, 0.4322886010199378, 0.3558606051517792, 0.3708238451843184, 0.21167338532117472]","[0.6536399240045401, 0.6696740652422133, 0.623122871684447, 0.6047081207568444, 0.6623896891987917]","[0.34134762621617004, 0.34935524880313445, 0.40120724219520154, 0.3523050597346475, 0.32313542951753144]","[0.6094801667767838, 0.6731559219491402, 0.6446702282330452, 0.6351945424907187, 0.6394400047688449]"
tr,"[0.491254311002478, 0.4951366722081368, 0.5020338026167589, 0.44916076388356924, 0.534492523595483]","[0.648026744660139, 0.6332817915626566, 0.6314670361538787, 0.6469586753897478, 0.6238227681081682]","[0.40053602464641, 0.4478919181341241, 0.382134092030202, 0.3689007057792112, 0.4109760409470152]","[0.585826902768583, 0.657932891166376, 0.6115264361055397, 0.5914132099629682, 0.5734198968049151]","[0.6256923368550785, 0.6307294328402934, 0.5966047579726504, 0.5597301864261414, 0.5898964742613686]","[0.49271938566972184, 0.4870094268731537, 0.5431629344282077, 0.4808987391156602, 0.5654247858688172]","[0.5091426612275625, 0.5286827361025839, 0.47237079834603873, 0.5133788967287226, 0.46083773797761324]","[0.8232032822035655, 0.7986626882787858, 0.8176101627336008, 0.8231771895093909, 0.8308800034798506]","[0.6407445205259552, 0.6074327766283508, 0.6390616193677511, 0.6458474896308437, 0.6034594311957929]","[0.6525687247713463, 0.6450817225616078, 0.5916718768268563, 0.6010933472263884, 0.6313518568509672]","[0.6201891023433322, 0.5986600605816375, 0.6086770256610644, 0.6225817789806578, 0.5631928883185331]","[0.5844820334096946, 0.6061274964901112, 0.5483232151828158, 0.6036819595590731, 0.6052118980078893]","[0.5718802824821039, 0.5968487342768924, 0.5743856469133165, 0.5708640299241392, 0.6152370056649041]","[0.792821226961804, 0.7952801715594114, 0.7970461540354611, 0.7888481100891921, 0.7955033819813758]","[0.7262051983994552, 0.7275879820234, 0.723335575769139, 0.7185478312113842, 0.7296546594538093]","[0.47151811942864813, 0.4965914729745811, 0.5332121586124737, 0.4538023188412847, 0.46335575903558635]","[0.39202916667476717, 0.3228284589068955, 0.2711866878177085, 0.29826833697918465, 0.35622804002945224]","[0.5309644552393652, 0.5551564318317961, 0.5211942854516226, 0.5617163763930045, 0.495902204241351]","[0.4607533901982146, 0.4715653424855794, 0.46140853242619334, 0.45740559812957354, 0.45155351069171673]","[0.4036006012596523, 0.44401358939541863, 0.4664840335247089, 0.4276005911869545, 0.4415058754383731]","[0.5871848248370976, 0.6386913046974594, 0.6163550695597599, 0.6221534606238965, 0.6108903825872122]","[0.40247796417832465, 0.384762520925511, 0.422623835461429, 0.3576085510732785, 0.406470400846728]","[0.553055002935519, 0.6212982730121923, 0.5583645272567288, 0.572193296301092, 0.5647815389904183]"
ada,"[0.4469994863606567, 0.475759536881561, 0.5047325043847674, 0.44930744443562776, 0.4948080254227254]","[0.6784430491492729, 0.6677512686038467, 0.6640035876054677, 0.6675545130637951, 0.6597026664727715]","[0.3210130646374826, 0.3512697051340348, 0.3064921778756446, 0.3182966231836644, 0.33574279111597216]","[0.44163451751392185, 0.4626384061770238, 0.47649211852099715, 0.43596111160871026, 0.4766258073078609]","[0.5405884638104664, 0.481849365484199, 0.4320582458611386, 0.44151061499186434, 0.4600842613217233]","[0.5849425855471436, 0.6025434047370598, 0.5792767275030813, 0.5874828626108571, 0.5958941789139964]","[0.5256880093196871, 0.5184235408555881, 0.4577521516376003, 0.5093554719703387, 0.4429664119373711]","[0.8642268905480662, 0.8627046874894887, 0.8571111846047518, 0.8596605102629415, 0.8628646229293151]","[0.6317670296577724, 0.6462674674458787, 0.644509825858157, 0.645720783710483, 0.5857527460111047]","[0.7076655783931984, 0.6936237595924127, 0.6847587250599075, 0.6374450536981099, 0.7019640152241745]","[0.5542470004165381, 0.5296058944034031, 0.5561396507917412, 0.555019340749692, 0.505627863845469]","[0.6284467823039661, 0.5949870881113085, 0.5794516915886835, 0.6269308720351447, 0.6239104719347769]","[0.51050685958845, 0.5048829188023463, 0.5081609144979331, 0.4592886308073634, 0.5157819368936349]","[0.8292958244376102, 0.825635541268523, 0.8149000370788556, 0.8238451516981973, 0.8249441200539066]","[0.732928538183113, 0.7368781680683923, 0.7307482007614053, 0.7345146534902943, 0.7299843146024307]","[0.4568421836287803, 0.47397695326607925, 0.4914377617820655, 0.41804974617029006, 0.4471497925604388]","[0.3413333977972988, 0.2968732973095772, 0.30775619031977414, 0.24685310482047637, 0.2677538923395795]","[0.4697735120286481, 0.5118322325205772, 0.5015387153573642, 0.5074352570011839, 0.4672246957961687]","[0.448068595736463, 0.4563204389835536, 0.46439857179733407, 0.44124069958551104, 0.43063876670018103]","[0.3625802371624636, 0.41785081309966077, 0.3915623934434571, 0.39334679030257835, 0.40620876070410555]","[0.5017808957920291, 0.504309288998096, 0.5217690553333436, 0.4817286363642989, 0.49608927714722484]","[0.36306412533424187, 0.32623683863108377, 0.291295294424144, 0.32116441512665783, 0.3499798246166017]","[0.4923710420301537, 0.5382510675545523, 0.5003652184404728, 0.48928937470170253, 0.5213562515705386]"
bag,"[0.46742980809634027, 0.496917782143401, 0.5163865466098364, 0.45344389744550856, 0.5258330297342041]","[0.6864343830714057, 0.6769939059148408, 0.6731234686013453, 0.6926909197447617, 0.666795132219102]","[0.35182979019922045, 0.3624332943684511, 0.3240241434752408, 0.3297079660564145, 0.34146736660544297]","[0.4756841640462313, 0.5088472041272579, 0.5325656137273111, 0.4748534172096483, 0.4985652102124861]","[0.5530516494553966, 0.5223121056527029, 0.45790306880517556, 0.48626838404860573, 0.4789417944860444]","[0.5930178496991394, 0.592761874588229, 0.5992349504863481, 0.5991533558466179, 0.5947659978341613]","[0.5474842028902256, 0.5502701161613348, 0.5018591607378721, 0.5404295670678864, 0.47491689866457604]","[0.8619909707437622, 0.8652927392016312, 0.8581117222542226, 0.8593217508283175, 0.86281630309562]","[0.6381478961891572, 0.6575501798477402, 0.6642560414970292, 0.6705924145983171, 0.5942134969000548]","[0.7223871597986699, 0.6963611631887059, 0.7004438418183698, 0.6722705795124854, 0.7202791826352236]","[0.5848845389701245, 0.5451699775295707, 0.5852895784105134, 0.6028108670680784, 0.5438649680998935]","[0.6313494019649056, 0.6138837877070755, 0.5947816552336324, 0.6324892703220751, 0.6443130371136595]","[0.547697964313249, 0.5310399962869548, 0.5569418144674578, 0.49485388845130723, 0.571342103004195]","[0.8303204927460577, 0.8284660991327957, 0.8219746370323427, 0.8241888957446594, 0.8264853857507507]","[0.7332619458012081, 0.7363739937137359, 0.7307496377158768, 0.7344164383357856, 0.7307021973907756]","[0.46289129734107665, 0.4994843878039991, 0.5056359747395978, 0.421162419737693, 0.4456988487877832]","[0.3805022612361991, 0.30222602566176177, 0.30294912297393745, 0.2698717091640748, 0.2722299934587894]","[0.47134866005095666, 0.5092540193569013, 0.5084562298556967, 0.5344200341216441, 0.47442954545908395]","[0.4521303959714817, 0.4935641320216063, 0.4674623056541551, 0.46390663562703893, 0.4344012585506295]","[0.3307480492978517, 0.4452325168528172, 0.3904338741612097, 0.40730448840347494, 0.4181375582469983]","[0.530719005490146, 0.5473749778464374, 0.5476386247532702, 0.5132024390570474, 0.5514960866220211]","[0.36842060953087735, 0.350687254826417, 0.3140112958105396, 0.2991187843891824, 0.32510152531263853]","[0.5162534107111594, 0.5605455371561062, 0.5297258011725433, 0.5109159527522494, 0.5585379896356621]"
pwm,"[0.47277365558071976, 0.49809366314257547, 0.5128581138018857, 0.4634606171107518, 0.5061787156940045]","[0.6750421940642233, 0.6581025523836236, 0.6613319129245165, 0.6733093549649476, 0.6548070825484505]","[0.3332768227241969, 0.36002939970894027, 0.3226439779420839, 0.3268385665724122, 0.3610111716478378]","[0.4630496389904248, 0.494258142595812, 0.5099001337673688, 0.4573101591455245, 0.4950846268182028]","[0.553568801271614, 0.5079445319517105, 0.46094637042511427, 0.4728437293873055, 0.47572561593246093]","[0.5902116588989695, 0.6081969574089411, 0.5847951379543476, 0.5796310528471652, 0.6069048991031433]","[0.5481697743802403, 0.5409947482925369, 0.485836269971327, 0.5406111389441564, 0.4619165810923986]","[0.8572769273000194, 0.8543316656142461, 0.8567213829903052, 0.8510349393617788, 0.8560018080270329]","[0.6463715450749986, 0.6571306569435967, 0.6675091232348201, 0.6687867921211896, 0.5991995234663983]","[0.7253273893571186, 0.6997071536120096, 0.6999849635761409, 0.6488134324745141, 0.7172421629080774]","[0.573330570531391, 0.5492808569804096, 0.5819071278352822, 0.5875561464320453, 0.5328880869066795]","[0.6333941139351469, 0.6050492872111265, 0.594052974998669, 0.643426110637417, 0.6449946027952994]","[0.5339780394831916, 0.5246919925853742, 0.5344615228761697, 0.4743268724840962, 0.5405500129556785]","[0.8259954460981543, 0.8199290902127199, 0.8039802882915467, 0.818338115120662, 0.8194115711659996]","[0.7305886298553284, 0.7345902766768312, 0.7298107741832809, 0.7310399116589411, 0.7285440093042829]","[0.4689167557332967, 0.49409350769629384, 0.49785306188908135, 0.4308810257731658, 0.46003632705000724]","[0.3475477634025201, 0.31080756592656905, 0.3282651922175757, 0.2736396309347067, 0.2857233402640782]","[0.4791549648540314, 0.5176319147365612, 0.5111617355785883, 0.5205883987704281, 0.4899392296674473]","[0.46006185646529585, 0.4904101164110561, 0.4729059534139827, 0.46443192476932715, 0.44810247795160324]","[0.36047831594387686, 0.41937182571131165, 0.3864754228493734, 0.3926979275402009, 0.41899135791931613]","[0.5305853996917431, 0.5397754509748657, 0.5468316362037197, 0.5036501178851532, 0.5353833012082012]","[0.3631350261582187, 0.32957301657958915, 0.3214033876487923, 0.32859402724670017, 0.355428046002002]","[0.5198535855427291, 0.5583605805841021, 0.5225500626874869, 0.5137859617805801, 0.5440074443747118]"
mlp,"[-0.1100620527796377, 0.17692511719589363, -0.1021074223587645, 0.05739730877035056, 0.2249410897691266]","[0.6272027385006368, 0.6364124986120979, 0.6172800864161982, 0.6460095006105306, 0.6199742799763667]","[-0.13723266042263493, -0.005489673905367726, 0.16827834223999769, 0.0467534344468024, -0.0974292095558908]","[-0.15993067486103024, 0.20731775428075144, -0.13679149901106025, 0.1415325813327694, -0.13475078874334218]","[0.006116835806133748, 0.12111214374538974, -0.05710665013212123, -0.06784686585640635, 0.06120977465752308]","[0.567633280376066, 0.5617821332531128, 0.5672722411750095, 0.5210971124573766, 0.5384334543110889]","[0.14672621066464644, 0.07502693348997654, -0.08953059851041126, -0.09150498898639943, 0.014564593725711686]","[0.8099627247406853, 0.8185829012268823, 0.8154208801519023, 0.8153143723696011, 0.8331280838760838]","[0.13727004033343423, -0.07888915729895166, -0.03345081519819087, 0.37783501897604377, 0.08633603895454757]","[0.01907167002995882, -0.10552404316366815, 0.16987675755176732, -0.1481900317526676, -0.08039503423747534]","[0.054790985072156344, 0.09488286888396669, 0.06614646894023973, 0.16556678723849294, -0.06988500870494178]","[0.1652332104804673, 0.10676312226350938, 0.189411471463213, -0.12854151650483953, 0.11789486414993851]","[-0.21307357275604727, 0.15319659460699328, 0.18703370211610323, -0.14306826528735195, 0.17072059280613283]","[0.7942642602540606, 0.7971682477105727, 0.7992379582688907, 0.7895171028310394, 0.7880601724974774]","[0.7204100833509706, 0.7238068462177718, 0.7172269209899138, 0.7234442576034993, 0.715881072484811]","[0.16635192219507683, -0.04882947547393936, 0.01682119601934836, -0.05029396176441213, 0.003920603341545738]","[-0.06993294235404217, -0.04245214637113983, -0.03541538768207727, -0.058786711449136074, -0.027119702860437887]","[-0.05327625904807297, -0.009922546628170076, 0.22562029934719316, -0.04962504781006237, 0.17694781508133917]","[0.12234695084231738, -0.04654701707381333, -0.1271082198930876, 0.2079243663344643, 0.2587313856925762]","[-0.0337423959426155, 0.0021445715451808276, 0.03606806650022816, 0.09803321817171605, 0.019119710715646367]","[-0.013408542887439678, -0.0771514313818618, -0.11927980639494369, 0.011043878481410214, -0.061176418650618535]","[0.23238110338541, -0.05599061401860019, 0.04808870928457157, 0.02109457134285306, 0.10158735425874695]","[0.07048318231890609, 0.1024283512909082, -0.015866093955036912, -0.00970740259991261, -0.02343693523692642]"
rf,"[0.4344715068031697, 0.44390412528773315, 0.4638611363469379, 0.4342416242785476, 0.45853565165987986]","[0.6245710113689744, 0.6016994012545273, 0.6124128119734493, 0.6212979138957704, 0.6110011699126668]","[0.2787082006990959, 0.3214990217641637, 0.2902788284732615, 0.3003574189605253, 0.3027705453319782]","[0.36985099180949826, 0.43537875927186226, 0.46833189843332196, 0.3760512180300774, 0.4137369243187501]","[0.484576874203746, 0.45427207941954995, 0.3882144341798191, 0.36003792897399767, 0.4213807092275023]","[0.5264623553950488, 0.5457686651813176, 0.5456747513356789, 0.5374965105773897, 0.5562095413944502]","[0.4789228530334048, 0.4725208666950372, 0.38355414570496965, 0.4691336432116835, 0.37250370443664776]","[0.820857591587538, 0.8159298271665416, 0.8134457966178966, 0.8204934730585042, 0.8153349975618145]","[0.5942206958320744, 0.6378768121528041, 0.6479463284722318, 0.6401294107276799, 0.5808441819664254]","[0.6983066377585873, 0.6765311520659293, 0.6653972731862414, 0.6141660275908218, 0.6985447070703821]","[0.504282492043559, 0.5095284948816025, 0.5145300633917088, 0.555720942222668, 0.47373037936033374]","[0.6009594060611154, 0.5744519124227039, 0.5765620116976756, 0.5590273285318272, 0.6108114446875911]","[0.4643781989353441, 0.3815835370556248, 0.4183526333402582, 0.3796622755787461, 0.4292656918683496]","[0.7962609597073864, 0.7905712472354844, 0.7836647552524448, 0.7957134683379509, 0.7928302703256183]","[0.6554759364489349, 0.6544792464243638, 0.6518294238197161, 0.656441706117315, 0.6528822468681181]","[0.4267065905515815, 0.455376454274558, 0.45937919569698255, 0.3811287449139302, 0.3898807229697284]","[0.3017462726580744, 0.21342766288102055, 0.2370405619966903, 0.21503693899347331, 0.2046057633137162]","[0.45381642728183463, 0.4965725769171058, 0.4925866056127144, 0.4906957829161115, 0.4383011720048561]","[0.3925154997634926, 0.3966226217636141, 0.4138666097483829, 0.395914242361267, 0.37958635292557436]","[0.2615319381108699, 0.37361323841047184, 0.3241998389248186, 0.36553746265106923, 0.3615358407414003]","[0.44084326919472366, 0.47836096708402953, 0.4712011194577399, 0.42972613118185876, 0.44798799096928854]","[0.32919044462499414, 0.2957479730470725, 0.27285487092911587, 0.29053846497379987, 0.3064171462018359]","[0.4494823702701093, 0.44155899582561464, 0.45147352437057653, 0.43833062350878016, 0.45737367377603283]"
xgb,"[0.28572006779744347, 0.32802764450766947, 0.4043508805608683, 0.31917987656860697, 0.3913299549208538]","[0.5939574456321567, 0.5571718331270733, 0.5733104935046908, 0.5891473714712793, 0.5728939353304002]","[0.23450408290254346, 0.2163515054007063, 0.22153742817473993, 0.2259720009670853, 0.26448673141761103]","[0.2696182783602636, 0.3148763503334422, 0.32823254545136793, 0.33829549768061634, 0.35796995987652047]","[0.4069351389591418, 0.353933815608048, 0.2945673846041408, 0.2668681020047568, 0.32467905236077194]","[0.49519220691392296, 0.49660084542749466, 0.49254217259371963, 0.49545393919740804, 0.5102547631756038]","[0.41726748891148574, 0.34195086837128075, 0.35672618428916647, 0.42713152124222714, 0.35267216778533933]","[0.842403613742785, 0.8319718431874484, 0.8361843346855354, 0.8384851396170065, 0.839731805148983]","[0.5432126960577602, 0.5645547651089224, 0.5556067672224317, 0.5120170164437996, 0.4680037785815859]","[0.5805940367455601, 0.6101378183868372, 0.5547845718229383, 0.5479520105642084, 0.5888534179114907]","[0.3963125860140365, 0.4129746400431315, 0.40603677369545743, 0.4234809140071546, 0.33281575472003083]","[0.5314546558664205, 0.4804039484101585, 0.4650670827539317, 0.501897093981177, 0.5047851644673429]","[0.37748279631508236, 0.33132972578861314, 0.3284859765971304, 0.27946985412669917, 0.34714757628718285]","[0.7848908117868877, 0.7799482330217865, 0.783341891742174, 0.7833153837180328, 0.7859012238942847]","[0.7066082692279756, 0.7096075418519742, 0.7051078511001618, 0.709418783647252, 0.7039498764583078]","[0.31397184181998716, 0.3124028128282576, 0.32421210796332234, 0.2879169296107697, 0.28671485939270863]","[0.21166069353428393, 0.23653539636746745, 0.1931616832597887, 0.16110828471200106, 0.1827797275140592]","[0.38670374025303655, 0.39843288772283647, 0.3902816221014549, 0.35194957088117595, 0.3204036581797568]","[0.2795652604031023, 0.28318479129778734, 0.3278653954863793, 0.33570841555778536, 0.28175039621997733]","[0.2814845492724925, 0.2789303950389093, 0.27445687840785055, 0.28818989457017513, 0.291168667107866]","[0.3860483319936546, 0.39392059081823705, 0.39432107461281485, 0.3133128126437611, 0.3681228890407659]","[0.2399812901066655, 0.22131163520210007, 0.17601376212658784, 0.2573919622220945, 0.2531047742745157]","[0.3511140832384445, 0.37986100689451396, 0.40558720914489865, 0.31283364374756484, 0.44446547271652187]"
ridge,"[0.4749212726671623, 0.4831298036615862, 0.5259724977332069, 0.4450730153392584, 0.5151835018927116]","[0.6180636068797434, 0.6110413509719905, 0.5920083137304095, 0.615172724183102, 0.6013582483761094]","[0.3106516426086135, 0.3141750750490695, 0.23487719904202373, 0.29555882361322167, 0.27242764821236726]","[0.42242764139239974, 0.4643253172871573, 0.43201275939468936, 0.38149932916331625, 0.40966616586428345]","[0.42332544042948045, 0.41347924028084515, 0.4060795967646052, 0.4123421064302018, 0.40965595149355555]","[0.5483319353936037, 0.5422365616717681, 0.5415466257946923, 0.5456408696752193, 0.5458353406237777]","[0.5017653192635383, 0.49376987897582014, 0.4383532530283479, 0.4704050772153393, 0.4115184756465876]","[0.7992534850254179, 0.7983840650399421, 0.7918971744103529, 0.7902370241883352, 0.7975229367716009]","[0.5798240523796478, 0.5903865941969645, 0.6165628869140598, 0.5931741295403864, 0.5218025625140983]","[0.6443906723237384, 0.6080486838634312, 0.6360493523171501, 0.5879777613970697, 0.623133415817173]","[0.4909864741416799, 0.4778667753159893, 0.49007955242959594, 0.544626290860683, 0.4614796486234333]","[0.5610264425686103, 0.5560299315954459, 0.5159041675502283, 0.5641721935621132, 0.5953331461502366]","[0.45423954487923507, 0.4464758543321035, 0.462283697108424, 0.38227549847322245, 0.4394783440514802]","[0.7617328606200444, 0.757384646015875, 0.7490920291039008, 0.7515574612707143, 0.7562401201451922]","[0.6243798651020273, 0.629522901308086, 0.6223558359784622, 0.6260029025576478, 0.6196992410953082]","[0.40942766571561895, 0.4363996017188276, 0.42825269194933235, 0.35980934089710104, 0.36862165261502267]","[0.30010981554377836, 0.23622881086391131, 0.23931214411402926, 0.23626278575498066, 0.21377126503510485]","[0.4130484964762825, 0.42628461747623114, 0.45218464482522347, 0.5016553125801122, 0.4397357178619107]","[0.41598253864957097, 0.4723045443402428, 0.44068573271516154, 0.44512266518481747, 0.4026015058750129]","[0.2774325406438216, 0.3645122164777578, 0.3151895645313894, 0.32350598789832125, 0.3590465345639257]","[0.44872920953021483, 0.5035925261471558, 0.4799670410922586, 0.44485041749932924, 0.48457483784183514]","[0.3211717667525953, 0.27047331099891103, 0.27945586737049294, 0.2262670693682118, 0.2528849662823631]","[0.4455298017097629, 0.472956110209964, 0.4665263668024036, 0.4220989579172419, 0.4997697441655187]"
